ANO,ESTADO,CIDADE,DATA,FERIADO
2022,AC,Epitaciolândia,01/01/2022,Ano Novo
2022,AC,Jordão,11/03/2022,Dia Da Mulher
2022,AC,Feijó,23/01/2022,Dia Do Evangélico
2022,AC,Mâncio Lima,01/05/2022,Dia Do Trabalho
2022,AC,Marechal Thaumaturgo,15/11/2022,Proclamação Da República
2022,AC,Marechal Thaumaturgo,18/11/2022,Tratado De Petrópolis
2022,AC,Manoel Urbano,09/09/2022,Dia Da Amazônia
2022,AC,Epitaciolândia,20/01/2022,Feriado Municipal
2022,AC,Jordão,15/04/2022,Sexta-Feira Santa
2022,AC,Feijó,28/02/2022,Carnaval
2022,AC,Mâncio Lima,30/05/2022,Feriado Municipal
2022,AC,Marechal Thaumaturgo,25/12/2022,Natal
2022,AC,Manoel Urbano,12/10/2022,Nossa Senhora Aparecida
2022,AC,Cruzeiro Do Sul,01/01/2022,Ano Novo
2022,AC,Epitaciolândia,21/01/2022,Dia Do Católico
2022,AC,Jordão,21/04/2022,Dia De Tiradentes
2022,AC,Feijó,01/03/2022,Carnaval
2022,AC,Mâncio Lima,15/06/2022,Aniversário Do Acre
2022,AC,Manoel Urbano,15/10/2022,Dia Do Professor
2022,AC,Cruzeiro Do Sul,21/01/2022,Dia Do Católico
2022,AC,Epitaciolândia,23/01/2022,Dia Do Evangélico
2022,AC,Jordão,01/05/2022,Dia Do Trabalho
2022,AC,Feijó,02/03/2022,Carnaval
2022,AC,Mâncio Lima,16/06/2022,Corpus Christi
2022,AC,Manoel Urbano,28/10/2022,Dia Do Servidor Público
2022,AC,Capixaba,01/01/2022,Ano Novo
2022,AC,Cruzeiro Do Sul,23/01/2022,Dia Do Evangélico
2022,AC,Cruzeiro Do Sul,28/02/2022,Carnaval
2022,AC,Epitaciolândia,28/02/2022,Carnaval
2022,AC,Jordão,15/06/2022,Aniversário Do Acre
2022,AC,Feijó,11/03/2022,Dia Da Mulher
2022,AC,Feijó,15/04/2022,Sexta-Feira Santa
2022,AC,Mâncio Lima,06/08/2022,Revolução Acreana
2022,AC,Manoel Urbano,02/11/2022,Dia De Finados
2022,AC,Capixaba,21/01/2022,Dia Do Católico
2022,AC,Cruzeiro Do Sul,01/03/2022,Carnaval
2022,AC,Epitaciolândia,01/03/2022,Carnaval
2022,AC,Jordão,16/06/2022,Corpus Christi
2022,AC,Feijó,21/04/2022,Dia De Tiradentes
2022,AC,Mâncio Lima,06/09/2022,Feriado Municipal
2022,AC,Mâncio Lima,07/09/2022,Independência Do Brasil
2022,AC,Manoel Urbano,15/11/2022,Proclamação Da República
2022,AC,Capixaba,23/01/2022,Dia Do Evangélico
2022,AC,Cruzeiro Do Sul,02/03/2022,Carnaval
2022,AC,Epitaciolândia,02/03/2022,Carnaval
2022,AC,Jordão,06/08/2022,Revolução Acreana
2022,AC,Feijó,01/05/2022,Dia Do Trabalho
2022,AC,Mâncio Lima,09/09/2022,Dia Da Amazônia
2022,AC,Manoel Urbano,18/11/2022,Tratado De Petrópolis
2022,AC,Capixaba,28/02/2022,Carnaval
2022,AC,Cruzeiro Do Sul,11/03/2022,Dia Da Mulher
2022,AC,Epitaciolândia,11/03/2022,Dia Da Mulher
2022,AC,Jordão,07/09/2022,Independência Do Brasil
2022,AC,Feijó,15/06/2022,Aniversário Do Acre
2022,AC,Mâncio Lima,12/10/2022,Nossa Senhora Aparecida
2022,AC,Bujari,01/01/2022,Ano Novo
2022,AC,Manoel Urbano,18/11/2022,Feriado Municipal
2022,AC,Capixaba,01/03/2022,Carnaval
2022,AC,Cruzeiro Do Sul,15/04/2022,Sexta-Feira Santa
2022,AC,Cruzeiro Do Sul,21/04/2022,Dia De Tiradentes
2022,AC,Epitaciolândia,15/04/2022,Sexta-Feira Santa
2022,AC,Jordão,09/09/2022,Dia Da Amazônia
2022,AC,Feijó,16/06/2022,Corpus Christi
2022,AC,Mâncio Lima,15/10/2022,Dia Do Professor
2022,AC,Bujari,21/01/2022,Dia Do Católico
2022,AC,Manoel Urbano,25/12/2022,Natal
2022,AC,Capixaba,02/03/2022,Carnaval
2022,AC,Cruzeiro Do Sul,01/05/2022,Dia Do Trabalho
2022,AC,Santa Rosa Do Purus,01/01/2022,Ano Novo
2022,AC,Epitaciolândia,21/04/2022,Dia De Tiradentes
2022,AC,Jordão,12/10/2022,Nossa Senhora Aparecida
2022,AC,Feijó,27/06/2022,Dia Da Padroeira Da Cidade
2022,AC,Mâncio Lima,28/10/2022,Dia Do Servidor Público
2022,AC,Mâncio Lima,02/11/2022,Dia De Finados
2022,AC,Bujari,23/01/2022,Dia Do Evangélico
2022,AC,Capixaba,11/03/2022,Dia Da Mulher
2022,AC,Cruzeiro Do Sul,15/06/2022,Aniversário Do Acre
2022,AC,Santa Rosa Do Purus,21/01/2022,Dia Do Católico
2022,AC,Santa Rosa Do Purus,23/01/2022,Dia Do Evangélico
2022,AC,Epitaciolândia,28/04/2022,Feriado Municipal
2022,AC,Jordão,15/10/2022,Dia Do Professor
2022,AC,Feijó,06/08/2022,Revolução Acreana
2022,AC,Mâncio Lima,15/11/2022,Proclamação Da República
2022,AC,Mâncio Lima,18/11/2022,Tratado De Petrópolis
2022,AC,Bujari,28/02/2022,Carnaval
2022,AC,Capixaba,15/04/2022,Sexta-Feira Santa
2022,AC,Cruzeiro Do Sul,16/06/2022,Corpus Christi
2022,AC,Santa Rosa Do Purus,28/02/2022,Carnaval
